Start Date,End Date,Country Name,ISO,Location,Latitude,Longitude,Magnitude Value,Magnitude Scale,Disaster Type,Disaster subtype,Total deaths,Total affected,Total damage ($),Disaster Name,Disaster Year,Disaster No.
21/12/1990,21/12/1990,Bangladesh,BGD,Golfe du Bengale,,,,Kph,Storm,--,250,,,,1990,1990-0421
8/10/90,8/10/90,Bangladesh,BGD,Chittagong,,,,Kph,Storm,Tropical cyclone,370,13870,,OFA,1990,1990-0576
/11/1990,/11/1990,India,IND,Ganjam district (Orissa),,,,Kph,Storm,Tropical cyclone,250,1500000,112800,,1990,1990-0580
23/10/1990,23/10/1990,Viet Nam,VNM,Central Eastern Coast,,,,Kph,Storm,Tropical cyclone,15,2000,,,1990,1990-0608
20/04/1990,20/04/1990,India,IND,"Meghalaya, Manipur, Tinsukia",,,,Kph,Storm,--,16,,,,1990,1990-0630
8/9/90,8/9/90,Philippines (the),PHL,,,,,Kph,Storm,Tropical cyclone,,,,DOT,1990,1990-0687
29/04/1991,10/5/91,Bangladesh,BGD,"Cox's Bazar, Chittagong, Patuakhali, Noakhali, Bhola, Barguna",,,21360,Kph,Storm,Tropical cyclone,138866,15438849,1780000,GORKY (02B),1991,1991-0120
27/05/1991,9/6/91,Maldives,MDV,,,,144,Kph,Storm,Convective storm,,23849,30000,,1991,1991-0131
22/07/1991,22/07/1991,Philippines (the),PHL,Near Tuguegaro (Pinatubo region),,,100,Kph,Storm,Tropical cyclone,2,10000,,BRENDAN,1991,1991-0174
17/08/1991,17/08/1991,Viet Nam,VNM,"Quanq Bin, Ha Tinh, Than Hoa, Nghe provinces",,,,Kph,Storm,Tropical cyclone,17,455921,9500,FRED,1991,1991-0210
7/5/91,7/5/91,Bangladesh,BGD,"Ghorasal, Tungi, Sirajganj",,,,Kph,Storm,Convective storm,121,300,,,1991,1991-0332
12/11/91,19/11/1991,India,IND,"Andhra Pradesh, Tamil Nadu, Pondicherry",,,,Kph,Storm,Tropical cyclone,125,25000,,4B,1991,1991-0374
27/10/1991,27/10/1991,Philippines (the),PHL,Luzon Isl.,,,260,Kph,Storm,Tropical cyclone,65,316038,90000,RUTH (TRINING),1991,1991-0382
5/11/91,8/11/91,Philippines (the),PHL,"Bago, La Cariota, Bacalod (Negros) and Leyte",,,,Kph,Storm,Tropical cyclone,5956,647254,100000,THELMA (URING),1991,1991-0383
28/12/1991,28/12/1991,Viet Nam,VNM,"Quang Ngai, Quang Nam-Da, Thua Thien-Hue provinces",,,70,Kph,Storm,--,251,10200,1000,,1991,1991-0444
10/7/91,10/7/91,Philippines (the),PHL,"Catanduanes, Albay, Quezon Provinces (Southern Luzon Isl.)",,,,Kph,Storm,Tropical cyclone,47,505777,85000,ZEKE (ETANG),1991,1991-0517
18/07/1991,18/07/1991,Philippines (the),PHL,"Pampanga, Tarlac provinces",,,,Kph,Storm,Tropical cyclone,4,2500,,AMY,1991,1991-0521
26/07/1991,26/07/1991,Philippines (the),PHL,"Concepcion, Floridablanca, Manila",,,,Kph,Storm,Tropical cyclone,9,90296,,CAITLIN,1991,1991-0525
//1991,//1991,Lao People's Democratic Republic (the),LAO,Whole country,,,,Kph,Storm,--,,38315,150,,1991,1991-0701
/03/1991,/03/1991,Nepal,NPL,,,,,Kph,Storm,--,6,165,,,1991,1991-0704
17/08/1991,17/08/1991,Thailand,THA,North and Northeast,,,,Kph,Storm,Tropical cyclone,38,1894238,8323,,1991,1991-0710
15/03/1991,15/03/1991,Viet Nam,VNM,Khanh Hoa,,,,Kph,Storm,--,8,10708,,,1991,1991-0711
13/07/1991,13/07/1991,Viet Nam,VNM,Quang Ninh Hai Phong,,,,Kph,Storm,Tropical cyclone,21,776,,ZEKE,1991,1991-0713
29/06/1992,29/06/1992,Viet Nam,VNM,"Haiphong, Quang Ninh provinces",,,,Kph,Storm,Tropical cyclone,14,47186,400,CHUCK,1992,1992-0061
22/04/1992,22/04/1992,India,IND,Naogoan district (Assam state),,,140,Kph,Storm,Tropical cyclone,25,100,,,1992,1992-0097
23/10/1992,23/10/1992,Viet Nam,VNM,Between Thua Thien Hue and Khanh Hoa provinces,,,,Kph,Storm,Tropical cyclone,17,32172,18000,ANGELA,1992,1992-0143
31/01/1992,1/2/92,Bangladesh,BGD,,,,,Kph,Storm,--,7,10200,,,1992,1992-0175
22/04/1992,22/04/1992,Bangladesh,BGD,North,,,,Kph,Storm,--,16,100,,,1992,1992-0192
19/05/1992,19/05/1992,Thailand,THA,,,,,Kph,Storm,--,,,,,1992,1992-0201
17/06/1992,24/06/1992,India,IND,"Kerala, Gujarat, Orissa states",,,,Kph,Storm,Convective storm,60,,,,1992,1992-0211
11/7/92,12/7/92,Philippines (the),PHL,"Aurora, Zambales, Nueva Ecija, Nueva Vizcaya, Pangasinan, La Union, Benguet, Ifugao, Isabela, Tarlac provinces",,,109,Kph,Storm,Tropical cyclone,22,5135,,ELI (KONSING),1992,1992-0295
20/07/1992,20/07/1992,Philippines (the),PHL,Regions III and NCR,,,,Kph,Storm,Tropical cyclone,42,134494,,GARY,1992,1992-0296
10/7/92,10/7/92,Lao People's Democratic Republic (the),LAO,Whole country,,,,Kph,Storm,Tropical cyclone,22,268877,3650,ZEKE & FRED,1992,1992-0470
16/08/1992,16/08/1992,Philippines (the),PHL,"Regions III, IV and NCR",,,,Kph,Storm,--,26,733096,,GLORING,1992,1992-0491
31/08/1992,31/08/1992,Philippines (the),PHL,Luzon Isl.,,,205,Kph,Storm,Tropical cyclone,11,173569,,OMAR (LUSING),1992,1992-0492
16/10/1992,16/10/1992,Thailand,THA,Ko Samui (Surat Thani province),,,,Kph,Storm,Tropical cyclone,3,106109,,ANGELA,1992,1992-0494
17/10/1992,17/10/1992,Thailand,THA,Sisaket province (North),,,,Kph,Storm,Tropical cyclone,,160550,,COLLEEN,1992,1992-0495
12/11/92,12/11/92,Thailand,THA,"Surat Thani, Krabi, Phangnga, Nakhon Si Thammarat provinces",,,,Kph,Storm,--,3,119787,,FORREST,1992,1992-0496
12/1/93,12/1/93,Bangladesh,BGD,"Bogra, Noagaon, Sunamganj, Sylhet, Tangail, Jamalpur",,,,Kph,Storm,Convective storm,31,752000,,,1993,1993-0001
13/05/1993,13/05/1993,Bangladesh,BGD,"Begumgang, Thana Unions",,,160,Kph,Storm,Tropical cyclone,14,7500,,,1993,1993-0029
26/06/1993,26/06/1993,Philippines (the),PHL,"Cordillera autonomous region (including Bagio city), Regions I-IV (including Metro Manilla)",,,180,Kph,Storm,Tropical cyclone,2,43735,442,KORYN (GORING),1993,1993-0055
4/10/93,4/10/93,Philippines (the),PHL,"Pampanga, Nueva Viscaya, Tarlac, Cagayan, Cavite, Bataan, Bulacan, Pangasinan, Nueva Ecija, Metro Manilla provinces",,,105,Kph,Storm,Tropical cyclone,124,1941566,188000,FLO (KADIANG),1993,1993-0077
4/12/93,4/12/93,India,IND,"Tamil Nadu, Karaikal region (Pondicherry)",,,120,Kph,Storm,Tropical cyclone,61,72000,100000,,1993,1993-0085
6/12/93,6/12/93,Philippines (the),PHL,"Catanduanes, Camarines Sur, Camarines Norte, Albay, Marinduque, Mindoro Oriental, Quezon, Laguna, Batangas, Rizal provinces (Bicol peninsula, Luzon) Visayas, Masbate, Sorgoson, Occidental Mindoro, Romblon",,,210,Kph,Storm,Tropical cyclone,311,1159802,50000,LOLA (MONANG) AND MANNY (NANING),1993,1993-0087
23/11/1993,23/11/1993,Viet Nam,VNM,"Phu Yen, Khanh Hoa, Binh Dinh, Dal Lac provinces",,,,Kph,Storm,Tropical cyclone,130,11506,15000,KYLE,1993,1993-0088
20/11/1993,23/11/1993,Philippines (the),PHL,,,,,Kph,Storm,Tropical cyclone,1,,2000,KYLE,1993,1993-0088
19/02/1993,19/02/1993,Bangladesh,BGD,North-East,,,,Kph,Storm,--,8,70500,,,1993,1993-0120
16/03/1993,16/03/1993,Viet Nam,VNM,Tuyen Quang province,,,,Kph,Storm,Convective storm,3,2016,,,1993,1993-0133
27/03/1993,27/03/1993,Bangladesh,BGD,"Bhola, Barisal districts",,,97,Kph,Storm,--,300,25200,,,1993,1993-0135
9/4/93,9/4/93,India,IND,"Near Kandi (Murshidabad district, West Bengal)",,,200,Kph,Storm,Tropical cyclone,125,500,,,1993,1993-0138
7/5/93,7/5/93,Bangladesh,BGD,North Dhaka,,,56,Kph,Storm,--,9,3250,,,1993,1993-0154
17/05/1993,17/05/1993,Bangladesh,BGD,Comilla area,,,100,Kph,Storm,--,25,7000,,,1993,1993-0160
26/12/1993,26/12/1993,Philippines (the),PHL,"Capiz, iloilo, Negros Oriental, Bohol, Cebu, Agusan del Norte, Cagayan de Oro, Caniguin, Southern Leyte, Surigao del Norte, Davao del Norte, Misamis Oriental",,,120,Kph,Storm,Tropical cyclone,52,366224,17000,NELL (PURING),1993,1993-0228
8/12/93,8/12/93,Viet Nam,VNM,"Ninh Hai, Cam Ranh districts (Khanh Hoa province)",,,130,Kph,Storm,Tropical cyclone,73,25235,50000,LOLA,1993,1993-0231
9/1/93,9/1/93,Bangladesh,BGD,Sylhet,,,161,Kph,Storm,Tropical cyclone,50,2500,,,1993,1993-0240
9/5/93,9/5/93,Bangladesh,BGD,"Naogaon, Dhaka",,,,Kph,Storm,--,15,70,,,1993,1993-0241
/02/1993,/02/1993,Philippines (the),PHL,Leyte,,,,Kph,Storm,--,28,70000,40000,,1993,1993-0298
/07/1993,/07/1993,Lao People's Democratic Republic (the),LAO,,,,93,Kph,Storm,--,8,120,302151,LEWIS & WINONA,1993,1993-0474
11/7/93,11/7/93,Thailand,THA,"Nakhon Phanom, Sakon Nakhon, Nong Khai provinces",,,,Kph,Storm,--,4,188448,106900,LEWIS,1993,1993-0481
29/09/1993,29/09/1993,Thailand,THA,"Udon Thani, Khon Kaen, Nakhon Panom, Nan, Uttaradit, Phayao, Mae Hong Son",,,,Kph,Storm,--,,25468,25070,WINONA,1993,1993-0482
6/1/94,6/1/94,Philippines (the),PHL,"Albay, Sorsogon, Palawan, Marinduque Provinces",,,55,Kph,Storm,--,62,73558,2400,AKANG,1994,1994-0010
9/4/94,9/4/94,Philippines (the),PHL,"Negros Occidental, Cebu, Surigao del Sur, Palawan, Calaian",,,110,Kph,Storm,Tropical cyclone,15,105746,,OWEN (BISING),1994,1994-0034
2/5/94,2/5/94,Bangladesh,BGD,"St. Martins, Teknaf Upazila, Ukhia Upazila ( Near Cox's Bazar), Kutubdia Isl., Moheskhali Isl., Bandarban",,,220,Kph,Storm,Tropical cyclone,130,653559,125000,,1994,1994-0044
19/07/1994,19/07/1994,Philippines (the),PHL,"Pampanga, Bulacan, Bataan, Zambales, Tarlac, Ilocos Sur, Olongapo, Angeles",,,,Kph,Storm,Tropical cyclone,11,420728,37600,YUNYA (NORMING),1994,1994-0071
10/7/94,16/07/1994,Philippines (the),PHL,"La Union, Pangasinan, Ilocos Sur, Ilocos Norte provinces, Laoag city (Luzon)",,,,Kph,Storm,Tropical cyclone,17,166585,1000,TIM (ILIANG),1994,1994-0072
23/06/1994,23/06/1994,Philippines (the),PHL,"Metro Manila, Aurora, Nueva Ecija, Pampanga, Tarlac, Zambales provinces (Luzon)",,,,Kph,Storm,Tropical cyclone,2,23952,,SHARON (GADING),1994,1994-0073
2/8/94,2/8/94,Philippines (the),PHL,"Pampanga, Zambales, Metro Manila (Luzon)",,,,Kph,Storm,Tropical cyclone,11,14000,,CAITLIN (PASING),1994,1994-0074
28/03/1994,28/03/1994,Bangladesh,BGD,"Mymensingh, Chittagong (North-East and Southern Bangladesh)",,,120,Kph,Storm,Tropical cyclone,40,150,2500,,1994,1994-0087
19/04/1994,19/04/1994,Bangladesh,BGD,"Pirojpur, Barguna, Barisal, Patuakhali districts",,,,Kph,Storm,--,20,5200,,,1994,1994-0092
8/5/94,8/5/94,Thailand,THA,Bangkok,,,,Kph,Storm,Tropical cyclone,,5000,,,1994,1994-0120
18/05/1994,18/05/1994,Bangladesh,BGD,North,,,100,Kph,Storm,--,15,100,,,1994,1994-0122
10/9/94,10/9/94,Philippines (the),PHL,"Papoay, San Nicolas, Pasuquin municipalities (locos Norte province), Cagayan province",,,,Kph,Storm,Tropical cyclone,7,54674,3900,LUKE (WELING),1994,1994-0215
15/07/1994,15/07/1994,Philippines (the),PHL,"Pinatubo, Luzon",,,,Kph,Storm,Tropical cyclone,39,,1700,OYANG,1994,1994-0313
/05/1994,/05/1994,Bhutan,BTN,,,,,Kph,Storm,Tropical cyclone,17,65000,,,1994,1994-0344
31/10/1994,4/11/94,India,IND,"Tamil Nadu, Andhra Pradesh, Karnataka states",,,125,Kph,Storm,Tropical cyclone,208,428500,19100,,1994,1994-0352
18/10/1994,22/10/1994,Philippines (the),PHL,"Arora, Quezon, Laguna, Batangas, Rizal, Cavite, Bulacan, Bataan, Oriental Mindoro, Occidental Mindoro provinces (Luzon)",,,150,Kph,Storm,Tropical cyclone,32,258751,67400,TERESA (KATRING),1994,1994-0519
19/12/1994,23/12/1994,Philippines (the),PHL,"Leyte, Cebu Isl., Surigao, Luzon, Iloilo, Bacolod",,,,Kph,Storm,Tropical cyclone,49,867923,26813,AXEL (GARDING),1994,1994-0594
2/5/94,2/5/94,Myanmar,MMR,"Maungdaw, Buthidaung, Rakhine State",,,,Kph,Storm,Tropical cyclone,17,64970,10000,,1994,1994-0615
17/09/1994,17/09/1994,Viet Nam,VNM,"Thanh Hoa, Ninh Binh, Nam Ha, Ha Tay",,,,Kph,Storm,Tropical cyclone,30,11000,45000,LUKE,1994,1994-0658
7/7/94,7/7/94,Philippines (the),PHL,Kalinga-Apayao province,,,,Kph,Storm,Tropical cyclone,3,5300,,VANESSA,1994,1994-0756
7/6/94,7/6/94,India,IND,Mormugao,,,,Kph,Storm,Convective storm,11,100,,,1994,1994-0762
30/08/1994,7/9/94,Thailand,THA,"Chiang Rai, Chiang Mai, Phayao, Phitsanulok, Khanchanburi",,,,Kph,Storm,Tropical cyclone,10,,12000,HARRY,1994,1994-0774
28/07/1994,4/8/94,Thailand,THA,"Lampang, Nan, Kanchanaburi, Phrae, Chinag Rai, Mae Hong Son, Tak, Phayao, Chiang Mai",,,,Kph,Storm,Tropical cyclone,9,10000,8000,AMY,1994,1994-0777
12/4/95,12/4/95,Bangladesh,BGD,"Chittagong, Madaripur, Munshiganj districts",,,160,Kph,Storm,Convective storm,50,51500,,,1995,1995-0051
12/4/95,12/4/95,Bangladesh,BGD,Chittagong,,,160,Kph,Storm,Convective storm,6,2070,,,1995,1995-0067
15/05/1995,15/05/1995,Bangladesh,BGD,"Cox's Bazar, Teknaf, Barguna, Bagerhat, Manpura, Char Nizam, Hatiya, Sadwip, Bhola, Noakhali, Patuakhali, Chittagong",,,96,Kph,Storm,--,525,2070000,800000,,1995,1995-0082
9/8/95,9/8/95,Thailand,THA,Bangkok,,,,Kph,Storm,Tropical cyclone,27,,,,1995,1995-0167
28/08/1995,28/08/1995,Philippines (the),PHL,"Regions I, II, III, IV, V, Metro Manilla",,,157,Kph,Storm,Tropical cyclone,6,195886,,KENT (GENING),1995,1995-0187
4/9/95,4/9/95,Philippines (the),PHL,"Pampanga, Sultan Kudarat provinces",,,,Kph,Storm,--,20,19655,394,NINA (HELMING),1995,1995-0199
9/10/95,26/10/1995,Philippines (the),PHL,"Pampanga, Pangasinan, Bulacan, Laguna, Marinduque, Quezon, Barangas, Cavite, Albay, Antique, Cebu, Leyte, Siquijor, Bukidnon provinces and National Capital region",,,120,Kph,Storm,Tropical cyclone,184,864437,38100,SYBIL (MAMENG),1995,1995-0247
3/11/95,3/11/95,Philippines (the),PHL,"Luzon, Visayas, Calauag",,,250,Kph,Storm,Tropical cyclone,882,1599588,244000,ANGELA (ROSING),1995,1995-0271
28/10/1995,1/11/95,Philippines (the),PHL,"Leyte, Samar, Central Visayas, Panays Islands, Palawan",,,135,Kph,Storm,Tropical cyclone,146,348053,30000,ZACK (PEPANG),1995,1995-0272
1/11/95,1/11/95,Viet Nam,VNM,"Quang Ngai, Binh Dinh, Quang Nam-Danang, Quang Tri, Quang Binh",,,,Kph,Storm,Tropical cyclone,16,23051,21200,ZACK,1995,1995-0274
10/11/95,10/11/95,India,IND,"Orissa, Andra Pradesh",,,,Kph,Storm,Tropical cyclone,128,,46300,,1995,1995-0275
25/11/1995,25/11/1995,Bangladesh,BGD,Gulf of Bengale,,,100,Kph,Storm,Tropical cyclone,172,250000,,,1995,1995-0281
25/12/1995,25/12/1995,Philippines (the),PHL,"Agusan, Surigao, Leyte, Samar",,,140,Kph,Storm,--,11,229193,,DAN (TRINING),1995,1995-0306
20/10/1995,23/10/1995,India,IND,Andhra Pradesh,,,,Kph,Storm,Tropical cyclone,94,12000,2000,,1995,1995-0462
1/8/95,1/8/95,Lao People's Democratic Republic (the),LAO,,,,,Kph,Storm,Tropical cyclone,26,1000000,,,1995,1995-0464
29/07/1995,31/07/1995,Philippines (the),PHL,"Pampanga, Zambales, Tarlac (Luzon province)",,,,Kph,Storm,Tropical cyclone,,20000,5000,KARING,1995,1995-0486
12/5/96,14/05/1996,Bangladesh,BGD,"Gopalpur, Basail, Kalihati, Shokipur, Mirzapur, Ghatail (Tangail district), Thanas of Madarganj,  Bakhiganj, Sarishabari (Jamalpur district)",,,153,Kph,Storm,Tropical cyclone,525,118291,,,1996,1996-0086
12/5/96,12/5/96,Nepal,NPL,Jhapa District,,,,Kph,Storm,--,20,19,,,1996,1996-0089
14/06/1996,16/06/1996,India,IND,"Andhra Pradesh, Karnataka, Kerala, West Begal, Tamil Nadu, Gujarat, Maharashtra, Uttar Pradesh, Assam, Haryana, Jammu and Kashmir, Rajasthan, Arunachal, Bihar, Tripura states",,,,Kph,Storm,Tropical cyclone,731,1842100,,3,1996,1996-0106
15/07/1996,15/07/1996,Philippines (the),PHL,"Quzeon, Aurora, Quirino, Nueva Vizcaya, Isabela, Cagayan, Batanes, La Union, Ilocos Norte, Ilocos Sur (Luzon Isl.)",,,140,Kph,Storm,Tropical cyclone,26,36828,38000,GLORIA,1996,1996-0108
24/07/1996,24/07/1996,Viet Nam,VNM,"Thai Binh, Nam Ha, Ninh Binh, Thanh Hoa, Hoa Binh",,,102,Kph,Storm,Tropical cyclone,585,387091,362000,FRANKIE,1996,1996-0110
27/07/1996,27/07/1996,Bangladesh,BGD,Bay Of Bengal,,,,Kph,Storm,--,60,,,,1996,1996-0170
2/7/96,2/7/96,India,IND,Oman Sea,,,,Kph,Storm,Tropical cyclone,92,,,,1996,1996-0180
18/07/1996,21/08/1996,Thailand,THA,"Chumphon, Chiang Rai, Nan, Nong Khai, Udon Thani, Rayong, Ranong",,,,Kph,Storm,Tropical cyclone,9,343386,150000,GLORIA AND FRANKIE,1996,1996-0182
9/9/96,10/9/96,Viet Nam,VNM,,,,,Kph,Storm,Tropical cyclone,1,,20,SALLY,1996,1996-0202
21/09/1996,22/09/1996,Viet Nam,VNM,"Nghe An, Ha Tinh provinces",,,101,Kph,Storm,Tropical cyclone,9,280000,11000,WILLIE,1996,1996-0227
6/11/96,8/11/96,India,IND,"East and West Godavari, Kakinada (Andhra Pradesh state)",,,,Kph,Storm,Tropical cyclone,708,7000000,1500300,07B,1996,1996-0256
6/11/96,6/11/96,Philippines (the),PHL,"Cebu, Bocolod",,,101,Kph,Storm,--,12,800,4150,ERNIE,1996,1996-0257
26/12/1996,28/12/1996,Malaysia,MYS,"Keningau, Sulaman, Tamparuli, Kiulu, Kota Kinabalu (Sabah state)",,,70,Kph,Storm,Tropical cyclone,270,4176,52000,GREG,1996,1996-0282
4/12/96,4/12/96,India,IND,Andhra Pradesh,,,180,Kph,Storm,Tropical cyclone,6,335000,,,1996,1996-0298
23/04/1996,23/04/1996,Bangladesh,BGD,Gowriganga River,,,,Kph,Storm,--,17,300,,,1996,1996-0350
29/10/1996,29/10/1996,Bangladesh,BGD,"Chittagong, Patuakhali, Pirojpur",,,65,Kph,Storm,Tropical cyclone,24,100,,,1996,1996-0351
14/08/1996,26/08/1996,Viet Nam,VNM,"Thanh Hoa, Golfe du Tonkin",,,,Kph,Storm,Tropical cyclone,194,,227000,,1996,1996-0500
18/05/1997,18/05/1997,Bangladesh,BGD,"Banshkali, Anowara (Chittagong district), Cox's Bazar, Teknaf, Chokoria, Moheshkali,  Kutubdia (Cox's Bazar district)",,,250,Kph,Storm,Tropical cyclone,111,3052738,,ONE BRAVO (01B),1997,1997-0114
18/08/1997,19/08/1997,Philippines (the),PHL,All country,,,180,Kph,Storm,Tropical cyclone,18,53659,5000,WINNIE,1997,1997-0180
19/08/1997,1/9/97,Thailand,THA,Surat Thani Province,,,,Kph,Storm,Tropical cyclone,46,50394,39500,ZITA,1997,1997-0184
22/08/1997,27/08/1997,Viet Nam,VNM,,,,,Kph,Storm,Tropical cyclone,,,5000,ZITA,1997,1997-0186
24/05/1997,26/05/1997,Philippines (the),PHL,"Manilla, Luzon",,,,Kph,Storm,Tropical cyclone,30,309111,2500,BINING,1997,1997-0203
22/08/1997,22/08/1997,India,IND,Andhra Pradesh,,,,Kph,Storm,Tropical cyclone,25,,,,1997,1997-0226
26/09/1997,27/09/1997,Bangladesh,BGD,"Bhola, Noakhali, Bagerhat, Khulna, Potuakhali, Sitakundu districts",,,150,Kph,Storm,Tropical cyclone,188,750063,,2 B,1997,1997-0235
20/10/1997,20/10/1997,Philippines (the),PHL,Cagayan Prov.,,,120,Kph,Storm,Tropical cyclone,1,4000,,IVAN,1997,1997-0252
12/10/97,12/10/97,Bangladesh,BGD,Tongi Dis. - 1st level = Dhaka,,,75,Kph,Storm,Convective storm,15,500,,,1997,1997-0258
2/11/97,4/11/97,Viet Nam,VNM,"Ca Mau, Soc Trang, Ben Tre, Tien Giang, Ba Ria, Binh Thuan, Tra Vinh, Bac Lieu, Dong Thap, Ho Chi Minh City, Can Tho, Kien Giang, Binh Dinh Provinces",,,102,Kph,Storm,Tropical cyclone,3682,1081127,470000,LINDA,1997,1997-0267
1/10/97,4/10/97,Thailand,THA,,,,,Kph,Storm,Tropical cyclone,152,,5000,LINDA,1997,1997-0267
1/11/97,4/11/97,Cambodia,KHM,,,,,Kph,Storm,Tropical cyclone,25,,10,LINDA,1997,1997-0267
23/03/1997,23/03/1997,Bangladesh,BGD,Bay Of Bengal Level 1 = Chittagong,,,,Kph,Storm,--,11,101,,,1997,1997-0321
27/08/1997,27/08/1997,Bangladesh,BGD,Cox's Bazar (level 2) Level 1 = Chittagong,,,,Kph,Storm,--,100,,,,1997,1997-0353
20/09/1997,29/09/1997,Viet Nam,VNM,"Danang, Quang Ngai, Quang Nam-Da, Nghe An",,,,Kph,Storm,Tropical cyclone,10,50,5000,FRITZ,1997,1997-0358
23/08/1997,27/08/1997,Malaysia,MYS,"Kedah, Perlis, Pennang states",,,11250,Kph,Storm,Tropical cyclone,2,2115,1000,ZITA,1997,1997-0559
23/04/1998,23/04/1998,Bangladesh,BGD,Chittagong,,,100,Kph,Storm,--,14,200,,,1998,1998-0101
24/03/1998,24/03/1998,India,IND,"Tanton, Jaleshwar (Midnapore, West Bengal), Balasore district (Orissa)",,,110,Kph,Storm,Convective storm,250,40500,10000,,1998,1998-0106
8/5/98,8/5/98,Viet Nam,VNM,Thanh Hoa province,,,,Kph,Storm,Convective storm,42,500,,,1998,1998-0159
20/05/1998,20/05/1998,Bangladesh,BGD,"Chittagong, Cox's Bazar, Sitakundu",,,150,Kph,Storm,Tropical cyclone,19,108944,,01B,1998,1998-0164
9/6/98,11/6/98,India,IND,"Kutch, Porbandar, Jamnagar, Junagadh, Amreli, Bhavnagar, Banaskhanta, Surat, Bharuch, Rajkot, Valsad, Nasvari districts (Gujarat state), Barmer, Jallore districts (Rajasthan state), Ratnagiri district (Maharasthra)",,,145,Kph,Storm,Tropical cyclone,2871,4600893,469000,03A,1998,1998-0183
18/09/1998,18/09/1998,Philippines (the),PHL,"North and Central Luzon Isl., cordillera Autonomous Region, central Visayas Isl., National Capital Region",,,108,Kph,Storm,Tropical cyclone,118,1749436,87038,VICKY AND TODD (EMANG AND GADING),1998,1998-0296
13/10/1998,18/10/1998,Philippines (the),PHL,Town Of Tabuk Level 2 = Kalinga-Apayao (from GENAME),,,280,Kph,Storm,Tropical cyclone,75,1344619,50000,ZEB (ILIANG),1998,1998-0309
18/10/1998,18/10/1998,India,IND,Bombay (city) Level 1 = Maharashtra,,,,Kph,Storm,Tropical cyclone,250,,,,1998,1998-0313
21/10/1998,21/10/1998,Philippines (the),PHL,Albay,,,235,Kph,Storm,Tropical cyclone,332,3902424,71000,BABS (LOLENG),1998,1998-0314
25/11/1998,25/11/1998,Bangladesh,BGD,"Sathkhira, Khulna district",,,140,Kph,Storm,Tropical cyclone,200,121000,,07B,1998,1998-0373
13/11/1998,29/11/1998,Viet Nam,VNM,"Quang Binh, Khanh Hoa, Quang Tri, Thua Thien Hue, Quang Nam, Da Nang, Guang Ngai, Bin Dinh, Phu Yen, Ninh Thuan, Binh Thuan, Dac Lac, Kon Tum, Lam Dong, Giai Lai provinces",,,,Kph,Storm,Tropical cyclone,283,2440092,93200,"CHIP, ELVIS , DAWN",1998,1998-0374
22/11/1998,22/11/1998,India,IND,"West Begala, Midnapur dis.- Level 1 = Uttar Pradesh",,,170,Kph,Storm,--,100,20000,,,1998,1998-0379
11/12/98,11/12/98,Philippines (the),PHL,"E and W Samar, Cagayan, Pampanga, Bulacan, Isabela, Quenzon, W Mindoro, Palawan, Masbate, Albay, Sorsogon, Catanduanes, Aklan, Capiz, Antique, Iloilo, Leyte",,,150,Kph,Storm,Tropical cyclone,69,326520,27399,FAITH (NORMING),1998,1998-0404
16/12/1998,16/12/1998,Viet Nam,VNM,"Khanh Hoa, Phu Yen, Quang Nam, Ninh Thuan, Quang Ngai, Ben Tre, Bihn Thuan, Ca Mau provinces",,,150,Kph,Storm,Tropical cyclone,43,84645,15000,FAITH & GIL,1998,1998-0434
23/03/1998,23/03/1998,Bangladesh,BGD,N.A. on the source,,,,Kph,Storm,--,28,100,,,1998,1998-0438
3/7/98,3/7/98,Bangladesh,BGD,Barisal,,,,Kph,Storm,--,60,,,,1998,1998-0447
7/4/99,8/4/99,Bangladesh,BGD,Parbatipur,,,,Kph,Storm,--,7,200,,,1999,1999-0105
26/03/1999,26/03/1999,Bangladesh,BGD,"Panchagarh district, Level 1 = Rajshahi Div",,,,Kph,Storm,Convective storm,2,100060,,,1999,1999-0115
20/05/1999,23/05/1999,India,IND,Gujarat Coast,,,200,Kph,Storm,Tropical cyclone,451,40696,20000,O2A,1999,1999-0177
30/04/1999,30/04/1999,Bangladesh,BGD,Kurigram (Rangpur),,,120,Kph,Storm,Convective storm,3,1150,,,1999,1999-0189
5/10/99,5/10/99,Philippines (the),PHL,"Provinces Of Cagayan, Ilocos, Sur, Pangasinan, La Union",,,,Kph,Storm,Tropical cyclone,7,41933,1800,DAN (PEPANG),1999,1999-0390
18/10/1999,18/10/1999,India,IND,"Orissa, Ganjam, Puri, Khurda, Gajapathi",,,200,Kph,Storm,Tropical cyclone,84,1201000,470000,,1999,1999-0401
28/10/1999,30/10/1999,India,IND,"Kendrapara, Jagatsinghpur, Khurda, Puri, Cuttack, Nayagarh, Bhadrak, Keonjhar, Dhenkanal, Balasore, Mayurbhang, Jajapur (Orissa, Andhra Pradesh, West Bengal states)",,,260,Kph,Storm,Tropical cyclone,9843,12628312,2500000,ODISHA (05B),1999,1999-0425
25/10/1999,25/10/1999,Bangladesh,BGD,"Satkhira, Khulna, Bagerhat, Pirojpur, Borguna districts",,,150,Kph,Storm,Tropical cyclone,,,,05B,1999,1999-0532
10/4/99,10/4/99,Bangladesh,BGD,"Bhola, Barisal & Patuakhil districts, Level 1 = Barisal Div",,,106,Kph,Storm,--,66,100,,,1999,1999-0576
